núm.,local ,p.a.p,instr.,tam.,renda
1,Monte Verde,não usa,segundo grau,4,"10.3"
2,Monte Verde,não usa,segundo grau,4,"15,4"
3,Monte Verde,usa,primeiro grau,4,"9,6"
4,Monte Verde,não usa,primeiro grau,5,"5,5"
5,Monte Verde,usa,segundo grau,4,9
6,Monte Verde,usa,nenhum,1,"2,4"
7,Monte Verde,não usa,segundo grau,2,"4,1"
8,Monte Verde,usa,segundo grau,3,"8,4"
9,Monte Verde,usa,segundo grau,6,"10,3"
10,Monte Verde,usa,primeiro grau,4,"4,6"
11,Monte Verde,não usa,primeiro grau,6,"18,6"
12,Monte Verde,usa,nenhum,4,"7,1"
13,Monte Verde,não usa,primeiro grau,4,"12,9"
14,Monte Verde,não usa,primeiro grau,6,"8,4"
15,Monte Verde,não usa,segundo grau,3,"19,3"
16,Monte Verde,não usa,primeiro grau,5,"10,4"
17,Monte Verde,usa,segundo grau,3,"8,9"
18,Monte Verde,não usa,segundo grau,4,"12,9"
19,Monte Verde,não usa,segundo grau,4,"5,1"
20,Monte Verde,usa,segundo grau,4,"12,2"
21,Monte Verde,usa,segundo grau,5,"5,8"
22,Monte Verde,usa,segundo grau,5,"12,9"
23,Monte Verde,não usa,segundo grau,5,"7,7"
24,Monte Verde,não usa,primeiro grau,4,"1,1"
25,Monte Verde,não usa,primeiro grau,8,"7,5"
26,Monte Verde,usa,segundo grau,4,"5,8"
27,Monte Verde,usa,nenhum,5,"7,2"
28,Monte Verde,não usa,segundo grau,3,"8,6"
29,Monte Verde,usa,primeiro grau,4,"5,1"
30,Monte Verde,não usa,segundo grau,5,"2,6"
31,Monte Verde,usa,segundo grau,5,"7,7"
32,Monte Verde,usa,primeiro grau,2,"2,4"
33,Monte Verde,usa,segundo grau,5,"4,8"
34,Monte Verde,usa,nenhum,2,"2,1"
35,Monte Verde,usa,nenhum,6,4
36,Monte Verde,usa,nenhum,8,"12,5"
37,Monte Verde,usa,segundo grau,3,"6,8"
38,Monte Verde,usa,segundo grau,5,"3,9"
39,Monte Verde,não usa,segundo grau,5,9
40,Monte Verde,não usa,segundo grau,3,"10,9"
41,Pq. Da Figueira,usa,primeiro grau,5,"5,4"
42,Pq. Da Figueira,usa,nenhum,3,"6,4"
43,Pq. Da Figueira,usa,nenhum,6,"4,4"
44,Pq. Da Figueira,usa,nenhum,5,"2,5"
45,Pq. Da Figueira,não usa,nenhum,6,"5,5"
46,Pq. Da Figueira,usa,nenhum,8,
47,Pq. Da Figueira,usa,segundo grau,4,14
48,Pq. Da Figueira,usa,primeiro grau,4,"8,5"
49,Pq. Da Figueira,usa,nenhum,5,"7,7"
50,Pq. Da Figueira,não usa,primeiro grau,3,"5,8"
51,Pq. Da Figueira,usa,segundo grau,5,5
52,Pq. Da Figueira,não usa,nenhum,3,"4,8"
53,Pq. Da Figueira,usa,primeiro grau,2,"2,8"
54,Pq. Da Figueira,usa,primeiro grau,4,"4,2"
55,Pq. Da Figueira,usa,segundo grau,3,"10,2"
56,Pq. Da Figueira,usa,primeiro grau,4,"7,4"
57,Pq. Da Figueira,usa,primeiro grau,5,5
58,Pq. Da Figueira,não usa,segundo grau,2,"6,4"
59,Pq. Da Figueira,não usa,segundo grau,4,"5,7"
60,Pq. Da Figueira,usa,primeiro grau,4,"10,8"
